번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어,,
9360,5,2017,측면,문장,KETI_SL_0000009360.MTS,터널이 무너져 갇혔어요,,
9465,6,2017,정면,문장,KETI_SL_0000009465.MOV,터널이 무너져 갇혔어요,,
9569,6,2017,측면,문장,KETI_SL_0000009569.MTS,터널이 무너져 갇혔어요,,
9675,7,2017,정면,문장,KETI_SL_0000009675.MOV,터널이 무너져 갇혔어요,,
9780,7,2017,측면,문장,KETI_SL_0000009780.MTS,터널이 무너져 갇혔어요,,
9885,8,2017,정면,문장,KETI_SL_0000009885.MOV,터널이 무너져 갇혔어요,,
9990,8,2017,측면,문장,KETI_SL_0000009990.MTS,터널이 무너져 갇혔어요,,
10095,9,2017,정면,문장,KETI_SL_0000010095.MOV,터널이 무너져 갇혔어요,,
10200,9,2017,측면,문장,KETI_SL_0000010200.MTS,터널이 무너져 갇혔어요,,
10305,10,2017,정면,문장,KETI_SL_0000010305.MOV,터널이 무너져 갇혔어요,,
10410,10,2017,측면,문장,KETI_SL_0000010410.MTS,터널이 무너져 갇혔어요,,
384,1,2017,정면,단어,KETI_SL_0000000384.MOV,택시,,
803,1,2017,측면,단어,KETI_SL_0000000803.MTS,택시,,
1219,2,2017,정면,단어,KETI_SL_0000001219.MTS,택시,,
1638,2,2017,측면,단어,KETI_SL_0000001638.MTS,택시,,
1992,3,2017,정면,단어,KETI_SL_0000001992.MOV,택시,,
2411,3,2017,측면,단어,KETI_SL_0000002411.MP4,택시,,
2897,4,2017,정면,단어,KETI_SL_0000002897.MOV,택시,,
3316,4,2017,측면,단어,KETI_SL_0000003316.MTS,택시,,
3725,5,2017,정면,단어,KETI_SL_0000003725.MOV,택시,,
4143,5,2017,측면,단어,KETI_SL_0000004143.MTS,택시,,
4572,6,2017,정면,단어,KETI_SL_0000004572.MOV,택시,,
4991,6,2017,측면,단어,KETI_SL_0000004991.MTS,택시,,
5410,7,2017,정면,단어,KETI_SL_0000005410.MOV,택시,,
5827,7,2017,측면,단어,KETI_SL_0000005827.MTS,택시,,
6249,8,2017,정면,단어,KETI_SL_0000006249.MOV,택시,,
6668,8,2017,측면,단어,KETI_SL_0000006668.MTS,택시,,
7088,9,2017,정면,단어,KETI_SL_0000007088.MOV,택시,,
7507,9,2017,측면,단어,KETI_SL_0000007507.MTS,택시,,
7925,10,2017,정면,단어,KETI_SL_0000007925.MOV,택시,,
8344,10,2017,측면,단어,KETI_SL_0000008344.MTS,택시,,
135,1,2017,정면,단어,KETI_SL_0000000135.MOV,탈골,,
554,1,2017,측면,단어,KETI_SL_0000000554.MTS,탈골,,
1218,2,2017,정면,단어,KETI_SL_0000001218.MTS,탈골,,
1637,2,2017,측면,단어,KETI_SL_0000001637.MTS,탈골,,
1991,3,2017,정면,단어,KETI_SL_0000001991.MOV,탈골,,
2410,3,2017,측면,단어,KETI_SL_0000002410.MP4,탈골,,
2649,4,2017,정면,단어,KETI_SL_0000002649.MOV,탈골,,
3068,4,2017,측면,단어,KETI_SL_0000003068.MTS,탈골,,
3588,5,2017,정면,단어,KETI_SL_0000003588.MOV,탈골,,
3904,5,2017,측면,단어,KETI_SL_0000003904.MTS,탈골,,
4324,6,2017,정면,단어,KETI_SL_0000004324.MOV,탈골,,
4743,6,2017,측면,단어,KETI_SL_0000004743.MTS,탈골,,
5272,7,2017,정면,단어,KETI_SL_0000005272.MOV,탈골,,
5689,7,2017,측면,단어,KETI_SL_0000005689.MTS,탈골,,
6001,8,2017,정면,단어,KETI_SL_0000006001.MOV,탈골,,
6420,8,2017,측면,단어,KETI_SL_0000006420.MTS,탈골,,
7087,9,2017,정면,단어,KETI_SL_0000007087.MOV,탈골,,
7506,9,2017,측면,단어,KETI_SL_0000007506.MTS,탈골,,
7924,10,2017,정면,단어,KETI_SL_0000007924.MOV,탈골,,
8343,10,2017,측면,단어,KETI_SL_0000008343.MTS,탈골,,
383,1,2017,정면,단어,KETI_SL_0000000383.MOV,코,,
802,1,2017,측면,단어,KETI_SL_0000000802.MTS,코,,
1217,2,2017,정면,단어,KETI_SL_0000001217.MTS,코,,
1636,2,2017,측면,단어,KETI_SL_0000001636.MTS,코,,
1990,3,2017,정면,단어,KETI_SL_0000001990.MOV,코,,
2409,3,2017,측면,단어,KETI_SL_0000002409.MP4,코,,
2896,4,2017,정면,단어,KETI_SL_0000002896.MOV,코,,
3315,4,2017,측면,단어,KETI_SL_0000003315.MTS,코,,
3724,5,2017,정면,단어,KETI_SL_0000003724.MOV,코,,
4142,5,2017,측면,단어,KETI_SL_0000004142.MTS,코,,
4571,6,2017,정면,단어,KETI_SL_0000004571.MOV,코,,
4990,6,2017,측면,단어,KETI_SL_0000004990.MTS,코,,
5409,7,2017,정면,단어,KETI_SL_0000005409.MOV,코,,
5826,7,2017,측면,단어,KETI_SL_0000005826.MTS,코,,
6248,8,2017,정면,단어,KETI_SL_0000006248.MOV,코,,
6667,8,2017,측면,단어,KETI_SL_0000006667.MTS,코,,
7086,9,2017,정면,단어,KETI_SL_0000007086.MOV,코,,
7505,9,2017,측면,단어,KETI_SL_0000007505.MTS,코,,
7923,10,2017,정면,단어,KETI_SL_0000007923.MOV,코,,
8342,10,2017,측면,단어,KETI_SL_0000008342.MTS,코,,
382,1,2017,정면,단어,KETI_SL_0000000382.MOV,칼,,
801,1,2017,측면,단어,KETI_SL_0000000801.MTS,칼,,
1216,2,2017,정면,단어,KETI_SL_0000001216.MTS,칼,,
1635,2,2017,측면,단어,KETI_SL_0000001635.MTS,칼,,
1989,3,2017,정면,단어,KETI_SL_0000001989.MOV,칼,,
2408,3,2017,측면,단어,KETI_SL_0000002408.MP4,칼,,
2895,4,2017,정면,단어,KETI_SL_0000002895.MOV,칼,,
3314,4,2017,측면,단어,KETI_SL_0000003314.MTS,칼,,
3723,5,2017,정면,단어,KETI_SL_0000003723.MOV,칼,,
4141,5,2017,측면,단어,KETI_SL_0000004141.MTS,칼,,
4570,6,2017,정면,단어,KETI_SL_0000004570.MOV,칼,,
4989,6,2017,측면,단어,KETI_SL_0000004989.MTS,칼,,
5408,7,2017,정면,단어,KETI_SL_0000005408.MOV,칼,,
5825,7,2017,측면,단어,KETI_SL_0000005825.MTS,칼,,
6247,8,2017,정면,단어,KETI_SL_0000006247.MOV,칼,,
6666,8,2017,측면,단어,KETI_SL_0000006666.MTS,칼,,
7085,9,2017,정면,단어,KETI_SL_0000007085.MOV,칼,,
7504,9,2017,측면,단어,KETI_SL_0000007504.MTS,칼,,
7922,10,2017,정면,단어,KETI_SL_0000007922.MOV,칼,,
8341,10,2017,측면,단어,KETI_SL_0000008341.MTS,칼,,
381,1,2017,정면,단어,KETI_SL_0000000381.MOV,침수,,
800,1,2017,측면,단어,KETI_SL_0000000800.MTS,침수,,
1215,2,2017,정면,단어,KETI_SL_0000001215.MTS,침수,,
1634,2,2017,측면,단어,KETI_SL_0000001634.MTS,침수,,
1987,3,2017,정면,단어,KETI_SL_0000001987.MOV,침수,,
2406,3,2017,측면,단어,KETI_SL_0000002406.MP4,침수,,
2894,4,2017,정면,단어,KETI_SL_0000002894.MOV,침수,,
3313,4,2017,측면,단어,KETI_SL_0000003313.MTS,침수,,
3722,5,2017,정면,단어,KETI_SL_0000003722.MOV,침수,,
4140,5,2017,측면,단어,KETI_SL_0000004140.MTS,침수,,
4569,6,2017,정면,단어,KETI_SL_0000004569.MOV,침수,,
4988,6,2017,측면,단어,KETI_SL_0000004988.MTS,침수,,
5407,7,2017,정면,단어,KETI_SL_0000005407.MOV,침수,,
5824,7,2017,측면,단어,KETI_SL_0000005824.MTS,침수,,
6246,8,2017,정면,단어,KETI_SL_0000006246.MOV,침수,,
6665,8,2017,측면,단어,KETI_SL_0000006665.MTS,침수,,
7084,9,2017,정면,단어,KETI_SL_0000007084.MOV,침수,,
7503,9,2017,측면,단어,KETI_SL_0000007503.MTS,침수,,
7921,10,2017,정면,단어,KETI_SL_0000007921.MOV,침수,,
8340,10,2017,측면,단어,KETI_SL_0000008340.MTS,침수,,
8405,1,2017,정면,문장,KETI_SL_0000008405.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8510,1,2017,측면,문장,KETI_SL_0000008510.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8615,2,2017,정면,문장,KETI_SL_0000008615.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8720,2,2017,측면,문장,KETI_SL_0000008720.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8825,3,2017,정면,문장,KETI_SL_0000008825.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8930,3,2017,측면,문장,KETI_SL_0000008930.MP4,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9035,4,2017,정면,문장,KETI_SL_0000009035.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9140,4,2017,측면,문장,KETI_SL_0000009140.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9245,5,2017,정면,문장,KETI_SL_0000009245.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9350,5,2017,측면,문장,KETI_SL_0000009350.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9455,6,2017,정면,문장,KETI_SL_0000009455.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9559,6,2017,측면,문장,KETI_SL_0000009559.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9665,7,2017,정면,문장,KETI_SL_0000009665.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9770,7,2017,측면,문장,KETI_SL_0000009770.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9875,8,2017,정면,문장,KETI_SL_0000009875.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
9980,8,2017,측면,문장,KETI_SL_0000009980.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
10085,9,2017,정면,문장,KETI_SL_0000010085.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
10190,9,2017,측면,문장,KETI_SL_0000010190.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
10295,10,2017,정면,문장,KETI_SL_0000010295.MOV,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
10400,10,2017,측면,문장,KETI_SL_0000010400.MTS,친구가 음식을 먹다가 실수로 방부제를 같이 먹었어요,,
8407,1,2017,정면,문장,KETI_SL_0000008407.MOV,친구가 숨을 안 쉬는 것 같아요,,
8512,1,2017,측면,문장,KETI_SL_0000008512.MTS,친구가 숨을 안 쉬는 것 같아요,,
8617,2,2017,정면,문장,KETI_SL_0000008617.MTS,친구가 숨을 안 쉬는 것 같아요,,
8722,2,2017,측면,문장,KETI_SL_0000008722.MTS,친구가 숨을 안 쉬는 것 같아요,,
8827,3,2017,정면,문장,KETI_SL_0000008827.MOV,친구가 숨을 안 쉬는 것 같아요,,
8932,3,2017,측면,문장,KETI_SL_0000008932.MP4,친구가 숨을 안 쉬는 것 같아요,,
9037,4,2017,정면,문장,KETI_SL_0000009037.MOV,친구가 숨을 안 쉬는 것 같아요,,
9142,4,2017,측면,문장,KETI_SL_0000009142.MTS,친구가 숨을 안 쉬는 것 같아요,,
9247,5,2017,정면,문장,KETI_SL_0000009247.MOV,친구가 숨을 안 쉬는 것 같아요,,
9352,5,2017,측면,문장,KETI_SL_0000009352.MTS,친구가 숨을 안 쉬는 것 같아요,,
9457,6,2017,정면,문장,KETI_SL_0000009457.MOV,친구가 숨을 안 쉬는 것 같아요,,
9561,6,2017,측면,문장,KETI_SL_0000009561.MTS,친구가 숨을 안 쉬는 것 같아요,,
9667,7,2017,정면,문장,KETI_SL_0000009667.MOV,친구가 숨을 안 쉬는 것 같아요,,
9772,7,2017,측면,문장,KETI_SL_0000009772.MTS,친구가 숨을 안 쉬는 것 같아요,,
9877,8,2017,정면,문장,KETI_SL_0000009877.MOV,친구가 숨을 안 쉬는 것 같아요,,
9982,8,2017,측면,문장,KETI_SL_0000009982.MTS,친구가 숨을 안 쉬는 것 같아요,,
10087,9,2017,정면,문장,KETI_SL_0000010087.MOV,친구가 숨을 안 쉬는 것 같아요,,
10192,9,2017,측면,문장,KETI_SL_0000010192.MTS,친구가 숨을 안 쉬는 것 같아요,,
10297,10,2017,정면,문장,KETI_SL_0000010297.MOV,친구가 숨을 안 쉬는 것 같아요,,
10402,10,2017,측면,문장,KETI_SL_0000010402.MTS,친구가 숨을 안 쉬는 것 같아요,,
8406,1,2017,정면,문장,KETI_SL_0000008406.MOV,친구가 감전 사고를 당했어요,,
8511,1,2017,측면,문장,KETI_SL_0000008511.MTS,친구가 감전 사고를 당했어요,,
8616,2,2017,정면,문장,KETI_SL_0000008616.MTS,친구가 감전 사고를 당했어요,,
8721,2,2017,측면,문장,KETI_SL_0000008721.MTS,친구가 감전 사고를 당했어요,,
8826,3,2017,정면,문장,KETI_SL_0000008826.MOV,친구가 감전 사고를 당했어요,,
8931,3,2017,측면,문장,KETI_SL_0000008931.MP4,친구가 감전 사고를 당했어요,,
9036,4,2017,정면,문장,KETI_SL_0000009036.MOV,친구가 감전 사고를 당했어요,,
9141,4,2017,측면,문장,KETI_SL_0000009141.MTS,친구가 감전 사고를 당했어요,,
9246,5,2017,정면,문장,KETI_SL_0000009246.MOV,친구가 감전 사고를 당했어요,,
9351,5,2017,측면,문장,KETI_SL_0000009351.MTS,친구가 감전 사고를 당했어요,,
9456,6,2017,정면,문장,KETI_SL_0000009456.MOV,친구가 감전 사고를 당했어요,,
9560,6,2017,측면,문장,KETI_SL_0000009560.MTS,친구가 감전 사고를 당했어요,,
9666,7,2017,정면,문장,KETI_SL_0000009666.MOV,친구가 감전 사고를 당했어요,,
9771,7,2017,측면,문장,KETI_SL_0000009771.MTS,친구가 감전 사고를 당했어요,,
9876,8,2017,정면,문장,KETI_SL_0000009876.MOV,친구가 감전 사고를 당했어요,,
9981,8,2017,측면,문장,KETI_SL_0000009981.MTS,친구가 감전 사고를 당했어요,,
10086,9,2017,정면,문장,KETI_SL_0000010086.MOV,친구가 감전 사고를 당했어요,,
10191,9,2017,측면,문장,KETI_SL_0000010191.MTS,친구가 감전 사고를 당했어요,,
10296,10,2017,정면,문장,KETI_SL_0000010296.MOV,친구가 감전 사고를 당했어요,,
10401,10,2017,측면,문장,KETI_SL_0000010401.MTS,친구가 감전 사고를 당했어요,,
380,1,2017,정면,단어,KETI_SL_0000000380.MOV,친구,,
799,1,2017,측면,단어,KETI_SL_0000000799.MTS,친구,,
1214,2,2017,정면,단어,KETI_SL_0000001214.MTS,친구,,
1633,2,2017,측면,단어,KETI_SL_0000001633.MTS,친구,,
1986,3,2017,정면,단어,KETI_SL_0000001986.MOV,친구,,
2405,3,2017,측면,단어,KETI_SL_0000002405.MP4,친구,,
2893,4,2017,정면,단어,KETI_SL_0000002893.MOV,친구,,
3312,4,2017,측면,단어,KETI_SL_0000003312.MTS,친구,,
3721,5,2017,정면,단어,KETI_SL_0000003721.MOV,친구,,
4139,5,2017,측면,단어,KETI_SL_0000004139.MTS,친구,,
4568,6,2017,정면,단어,KETI_SL_0000004568.MOV,친구,,
4987,6,2017,측면,단어,KETI_SL_0000004987.MTS,친구,,
5406,7,2017,정면,단어,KETI_SL_0000005406.MOV,친구,,
5823,7,2017,측면,단어,KETI_SL_0000005823.MTS,친구,,
6245,8,2017,정면,단어,KETI_SL_0000006245.MOV,친구,,
6664,8,2017,측면,단어,KETI_SL_0000006664.MTS,친구,,
7083,9,2017,정면,단어,KETI_SL_0000007083.MOV,친구,,
7502,9,2017,측면,단어,KETI_SL_0000007502.MTS,친구,,
7920,10,2017,정면,단어,KETI_SL_0000007920.MOV,친구,,
8339,10,2017,측면,단어,KETI_SL_0000008339.MTS,친구,,
378,1,2017,정면,단어,KETI_SL_0000000378.MOV,출혈,,
797,1,2017,측면,단어,KETI_SL_0000000797.MTS,출혈,,
1213,2,2017,정면,단어,KETI_SL_0000001213.MTS,출혈,,
1632,2,2017,측면,단어,KETI_SL_0000001632.MTS,출혈,,
1985,3,2017,정면,단어,KETI_SL_0000001985.MOV,출혈,,
2404,3,2017,측면,단어,KETI_SL_0000002404.MP4,출혈,,
2891,4,2017,정면,단어,KETI_SL_0000002891.MOV,출혈,,
3310,4,2017,측면,단어,KETI_SL_0000003310.MTS,출혈,,
3720,5,2017,정면,단어,KETI_SL_0000003720.MOV,출혈,,
4138,5,2017,측면,단어,KETI_SL_0000004138.MTS,출혈,,
4566,6,2017,정면,단어,KETI_SL_0000004566.MOV,출혈,,
4985,6,2017,측면,단어,KETI_SL_0000004985.MTS,출혈,,
5404,7,2017,정면,단어,KETI_SL_0000005404.MOV,출혈,,
5821,7,2017,측면,단어,KETI_SL_0000005821.MTS,출혈,,
6243,8,2017,정면,단어,KETI_SL_0000006243.MOV,출혈,,
6662,8,2017,측면,단어,KETI_SL_0000006662.MTS,출혈,,
7081,9,2017,정면,단어,KETI_SL_0000007081.MOV,출혈,,
7500,9,2017,측면,단어,KETI_SL_0000007500.MTS,출혈,,
7919,10,2017,정면,단어,KETI_SL_0000007919.MOV,출혈,,
8338,10,2017,측면,단어,KETI_SL_0000008338.MTS,출혈,,
377,1,2017,정면,단어,KETI_SL_0000000377.MOV,출산,,
796,1,2017,측면,단어,KETI_SL_0000000796.MTS,출산,,
1212,2,2017,정면,단어,KETI_SL_0000001212.MTS,출산,,
1631,2,2017,측면,단어,KETI_SL_0000001631.MTS,출산,,
1984,3,2017,정면,단어,KETI_SL_0000001984.MOV,출산,,
2403,3,2017,측면,단어,KETI_SL_0000002403.MP4,출산,,
2890,4,2017,정면,단어,KETI_SL_0000002890.MOV,출산,,
3309,4,2017,측면,단어,KETI_SL_0000003309.MTS,출산,,
3719,5,2017,정면,단어,KETI_SL_0000003719.MOV,출산,,
4137,5,2017,측면,단어,KETI_SL_0000004137.MTS,출산,,
4565,6,2017,정면,단어,KETI_SL_0000004565.MOV,출산,,
4984,6,2017,측면,단어,KETI_SL_0000004984.MTS,출산,,
5403,7,2017,정면,단어,KETI_SL_0000005403.MOV,출산,,
5820,7,2017,측면,단어,KETI_SL_0000005820.MTS,출산,,
6242,8,2017,정면,단어,KETI_SL_0000006242.MOV,출산,,
6661,8,2017,측면,단어,KETI_SL_0000006661.MTS,출산,,
7080,9,2017,정면,단어,KETI_SL_0000007080.MOV,출산,,
7499,9,2017,측면,단어,KETI_SL_0000007499.MTS,출산,,
7918,10,2017,정면,단어,KETI_SL_0000007918.MOV,출산,,
8337,10,2017,측면,단어,KETI_SL_0000008337.MTS,출산,,
376,1,2017,정면,단어,KETI_SL_0000000376.MOV,축사,,
795,1,2017,측면,단어,KETI_SL_0000000795.MTS,축사,,
1211,2,2017,정면,단어,KETI_SL_0000001211.MTS,축사,,
1630,2,2017,측면,단어,KETI_SL_0000001630.MTS,축사,,
1983,3,2017,정면,단어,KETI_SL_0000001983.MOV,축사,,
2402,3,2017,측면,단어,KETI_SL_0000002402.MP4,축사,,
2889,4,2017,정면,단어,KETI_SL_0000002889.MOV,축사,,
3308,4,2017,측면,단어,KETI_SL_0000003308.MTS,축사,,
3718,5,2017,정면,단어,KETI_SL_0000003718.MOV,축사,,
4136,5,2017,측면,단어,KETI_SL_0000004136.MTS,축사,,
4564,6,2017,정면,단어,KETI_SL_0000004564.MOV,축사,,
4983,6,2017,측면,단어,KETI_SL_0000004983.MTS,축사,,
5402,7,2017,정면,단어,KETI_SL_0000005402.MOV,축사,,
5819,7,2017,측면,단어,KETI_SL_0000005819.MTS,축사,,
6241,8,2017,정면,단어,KETI_SL_0000006241.MOV,축사,,
6660,8,2017,측면,단어,KETI_SL_0000006660.MTS,축사,,
7079,9,2017,정면,단어,KETI_SL_0000007079.MOV,축사,,
7498,9,2017,측면,단어,KETI_SL_0000007498.MTS,축사,,
7917,10,2017,정면,단어,KETI_SL_0000007917.MOV,축사,,
8336,10,2017,측면,단어,KETI_SL_0000008336.MTS,축사,,
375,1,2017,정면,단어,KETI_SL_0000000375.MOV,추락,,
794,1,2017,측면,단어,KETI_SL_0000000794.MTS,추락,,
1210,2,2017,정면,단어,KETI_SL_0000001210.MTS,추락,,
1629,2,2017,측면,단어,KETI_SL_0000001629.MTS,추락,,
1982,3,2017,정면,단어,KETI_SL_0000001982.MOV,추락,,
2401,3,2017,측면,단어,KETI_SL_0000002401.MP4,추락,,
2888,4,2017,정면,단어,KETI_SL_0000002888.MOV,추락,,
3307,4,2017,측면,단어,KETI_SL_0000003307.MTS,추락,,
3717,5,2017,정면,단어,KETI_SL_0000003717.MOV,추락,,
4135,5,2017,측면,단어,KETI_SL_0000004135.MTS,추락,,
4563,6,2017,정면,단어,KETI_SL_0000004563.MOV,추락,,
4982,6,2017,측면,단어,KETI_SL_0000004982.MTS,추락,,
5401,7,2017,정면,단어,KETI_SL_0000005401.MOV,추락,,
5818,7,2017,측면,단어,KETI_SL_0000005818.MTS,추락,,
6240,8,2017,정면,단어,KETI_SL_0000006240.MOV,추락,,
6659,8,2017,측면,단어,KETI_SL_0000006659.MTS,추락,,
7078,9,2017,정면,단어,KETI_SL_0000007078.MOV,추락,,
7497,9,2017,측면,단어,KETI_SL_0000007497.MTS,추락,,
7916,10,2017,정면,단어,KETI_SL_0000007916.MOV,추락,,
8335,10,2017,측면,단어,KETI_SL_0000008335.MTS,추락,,
374,1,2017,정면,단어,KETI_SL_0000000374.MOV,총,,
793,1,2017,측면,단어,KETI_SL_0000000793.MTS,총,,
1209,2,2017,정면,단어,KETI_SL_0000001209.MTS,총,,
1628,2,2017,측면,단어,KETI_SL_0000001628.MTS,총,,
1981,3,2017,정면,단어,KETI_SL_0000001981.MOV,총,,
2400,3,2017,측면,단어,KETI_SL_0000002400.MP4,총,,
2887,4,2017,정면,단어,KETI_SL_0000002887.MOV,총,,
3306,4,2017,측면,단어,KETI_SL_0000003306.MTS,총,,
3716,5,2017,정면,단어,KETI_SL_0000003716.MOV,총,,
4134,5,2017,측면,단어,KETI_SL_0000004134.MTS,총,,
4562,6,2017,정면,단어,KETI_SL_0000004562.MOV,총,,
4981,6,2017,측면,단어,KETI_SL_0000004981.MTS,총,,
5400,7,2017,정면,단어,KETI_SL_0000005400.MOV,총,,
5817,7,2017,측면,단어,KETI_SL_0000005817.MTS,총,,
6239,8,2017,정면,단어,KETI_SL_0000006239.MOV,총,,
6658,8,2017,측면,단어,KETI_SL_0000006658.MTS,총,,
7077,9,2017,정면,단어,KETI_SL_0000007077.MOV,총,,
7496,9,2017,측면,단어,KETI_SL_0000007496.MTS,총,,
7915,10,2017,정면,단어,KETI_SL_0000007915.MOV,총,,
8334,10,2017,측면,단어,KETI_SL_0000008334.MTS,총,,
373,1,2017,정면,단어,KETI_SL_0000000373.MOV,체온계,,
792,1,2017,측면,단어,KETI_SL_0000000792.MTS,체온계,,
1208,2,2017,정면,단어,KETI_SL_0000001208.MTS,체온계,,
1627,2,2017,측면,단어,KETI_SL_0000001627.MTS,체온계,,
1980,3,2017,정면,단어,KETI_SL_0000001980.MOV,체온계,,
2399,3,2017,측면,단어,KETI_SL_0000002399.MP4,체온계,,
2886,4,2017,정면,단어,KETI_SL_0000002886.MOV,체온계,,
3305,4,2017,측면,단어,KETI_SL_0000003305.MTS,체온계,,
3715,5,2017,정면,단어,KETI_SL_0000003715.MOV,체온계,,
4133,5,2017,측면,단어,KETI_SL_0000004133.MTS,체온계,,
4561,6,2017,정면,단어,KETI_SL_0000004561.MOV,체온계,,
4980,6,2017,측면,단어,KETI_SL_0000004980.MTS,체온계,,
5399,7,2017,정면,단어,KETI_SL_0000005399.MOV,체온계,,
5816,7,2017,측면,단어,KETI_SL_0000005816.MTS,체온계,,
6238,8,2017,정면,단어,KETI_SL_0000006238.MOV,체온계,,
6657,8,2017,측면,단어,KETI_SL_0000006657.MTS,체온계,,
7076,9,2017,정면,단어,KETI_SL_0000007076.MOV,체온계,,
7495,9,2017,측면,단어,KETI_SL_0000007495.MTS,체온계,,
7914,10,2017,정면,단어,KETI_SL_0000007914.MOV,체온계,,
8333,10,2017,측면,단어,KETI_SL_0000008333.MTS,체온계,,
372,1,2017,정면,단어,KETI_SL_0000000372.MOV,창백하다,,
791,1,2017,측면,단어,KETI_SL_0000000791.MTS,창백하다,,
1207,2,2017,정면,단어,KETI_SL_0000001207.MTS,창백하다,,
1626,2,2017,측면,단어,KETI_SL_0000001626.MTS,창백하다,,
1979,3,2017,정면,단어,KETI_SL_0000001979.MOV,창백하다,,
2398,3,2017,측면,단어,KETI_SL_0000002398.MP4,창백하다,,
2885,4,2017,정면,단어,KETI_SL_0000002885.MOV,창백하다,,
3304,4,2017,측면,단어,KETI_SL_0000003304.MTS,창백하다,,
3714,5,2017,정면,단어,KETI_SL_0000003714.MOV,창백하다,,
4132,5,2017,측면,단어,KETI_SL_0000004132.MTS,창백하다,,
4560,6,2017,정면,단어,KETI_SL_0000004560.MOV,창백하다,,
4979,6,2017,측면,단어,KETI_SL_0000004979.MTS,창백하다,,
5398,7,2017,정면,단어,KETI_SL_0000005398.MOV,창백하다,,
5815,7,2017,측면,단어,KETI_SL_0000005815.MTS,창백하다,,
6237,8,2017,정면,단어,KETI_SL_0000006237.MOV,창백하다,,
6656,8,2017,측면,단어,KETI_SL_0000006656.MTS,창백하다,,
7075,9,2017,정면,단어,KETI_SL_0000007075.MOV,창백하다,,
7494,9,2017,측면,단어,KETI_SL_0000007494.MTS,창백하다,,
7913,10,2017,정면,단어,KETI_SL_0000007913.MOV,창백하다,,
8332,10,2017,측면,단어,KETI_SL_0000008332.MTS,창백하다,,
371,1,2017,정면,단어,KETI_SL_0000000371.MOV,창문,,
790,1,2017,측면,단어,KETI_SL_0000000790.MTS,창문,,
1206,2,2017,정면,단어,KETI_SL_0000001206.MTS,창문,,
1625,2,2017,측면,단어,KETI_SL_0000001625.MTS,창문,,
1978,3,2017,정면,단어,KETI_SL_0000001978.MOV,창문,,
2397,3,2017,측면,단어,KETI_SL_0000002397.MP4,창문,,
2884,4,2017,정면,단어,KETI_SL_0000002884.MOV,창문,,
3303,4,2017,측면,단어,KETI_SL_0000003303.MTS,창문,,
3713,5,2017,정면,단어,KETI_SL_0000003713.MOV,창문,,
4131,5,2017,측면,단어,KETI_SL_0000004131.MTS,창문,,
4559,6,2017,정면,단어,KETI_SL_0000004559.MOV,창문,,
4978,6,2017,측면,단어,KETI_SL_0000004978.MTS,창문,,
5397,7,2017,정면,단어,KETI_SL_0000005397.MOV,창문,,
5814,7,2017,측면,단어,KETI_SL_0000005814.MTS,창문,,
6236,8,2017,정면,단어,KETI_SL_0000006236.MOV,창문,,
6655,8,2017,측면,단어,KETI_SL_0000006655.MTS,창문,,
7074,9,2017,정면,단어,KETI_SL_0000007074.MOV,창문,,
7493,9,2017,측면,단어,KETI_SL_0000007493.MTS,창문,,
7912,10,2017,정면,단어,KETI_SL_0000007912.MOV,창문,,
8331,10,2017,측면,단어,KETI_SL_0000008331.MTS,창문,,
370,1,2017,정면,단어,KETI_SL_0000000370.MOV,차안,,
789,1,2017,측면,단어,KETI_SL_0000000789.MTS,차안,,
1205,2,2017,정면,단어,KETI_SL_0000001205.MTS,차안,,
1624,2,2017,측면,단어,KETI_SL_0000001624.MTS,차안,,
1976,3,2017,정면,단어,KETI_SL_0000001976.MOV,차안,,
2395,3,2017,측면,단어,KETI_SL_0000002395.MP4,차안,,
2883,4,2017,정면,단어,KETI_SL_0000002883.MOV,차안,,
3302,4,2017,측면,단어,KETI_SL_0000003302.MTS,차안,,
3712,5,2017,정면,단어,KETI_SL_0000003712.MOV,차안,,
